Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4wGoKAghk5ACtBC1uhi3Vz,"Dante","Mirror's Edge","Northlane",2024-04-12,346294,34,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"australian metalcore,djent,melodic metalcore,metalcore,nu-metalcore,progressive metalcore","Worldeater Records",0.437,0.916,11,-5.006,1,0.061,0.000838,0.000129,0.378,0.153,137.877,4
14WYmNQWvR2TTWoRp8t9Ml,"RATATATA","RATATATA","BABYMETAL,Electric Callboy",2024-05-23,216428,71,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"idol rock,j-metal,kawaii metal,comic metal,german metalcore,trancecore","Century Media",0.559,0.889,5,-6.284,0,0.0669,0.000269,0.00118,0.083,0.666,140.047,4
2Ggr9IfS70wYQacW8nZKPG,"labour","labour","Paris Paloma",2023-03-23,237744,74,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"singer-songwriter pop","Nettwerk Music Group",0.65,0.574,11,-10.3,0,0.101,0.396,0.000112,0.354,0.441,83.963,4
78M7CiqTpJYoPQKkwjM48Z,"Rucón","Eclipse","Alemán",2018-05-16,168560,69,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"mexican hip hop,trap mexicano","Homegrown Entertainment",0.864,0.59,1,-8.768,1,0.499,0.0196,0,0.093,0.579,161.989,4
6QewNVIDKdSl8Y3ycuHIei,"Even Flow","Ten","Pearl Jam",1991-08-27,292580,78,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"alternative metal,alternative rock,classic rock,grunge,hard rock,permanent wave,rock","Epic/Legacy",0.394,0.944,10,-6.506,0,0.0761,0.00178,0.00000454,0.298,0.265,105.338,4
1M31zIMamohkItOjLaBbtx,"V.A.N","V.A.N","Bad Omens,Poppy",2024-01-24,274098,59,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"american metalcore,alt z","Sumerian Records",0.636,0.828,7,-5.321,1,0.071,0.000423,0.206,0.374,0.297,102.52,4
1lPUCB89Johsx9zpaChwyJ,"My Mother Told Me (In Old Norse)","My Mother Told Me (In Old Norse)","Colm R. McGuinness",2021-09-22,182838,48,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"shanty","Colm R. McGuinness",0.191,0.498,0,-13.631,0,0.059,0.694,0,0.137,0.189,87.439,3
16Ggpcwd7ZxTveNBNN4GWT,"Burn Your Village","Rituals On The Bank Of A Familiar River","Kiki Rockwell",2023-06-08,244584,59,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"","Universal Music New Zealand Limited",0.443,0.534,7,-10.959,1,0.337,0.463,0.124,0.156,0.216,179.87,4
3WMj8moIAXJhHsyLaqIIHI,"Something in the Orange","Something in the Orange","Zach Bryan",2022-04-22,228013,85,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"classic oklahoma country","Warner Records",0.369,0.192,4,-12.151,0,0.04,0.555,0.00000835,0.0954,0.148,175.212,3
1p5TtyMCY3hUkMhOF01hmB,"OCTANE","OCTANE","Nik Nocturnal,Bad Wolves",2024-02-21,194482,41,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"canadian metalcore,alternative metal,metal,post-grunge","Nocturnal Productions",0.449,0.985,7,-4.651,0,0.154,0.000323,0.000504,0.349,0.35,160.016,4
4dkxQNsQUboUQ2I4wXkE0d,"Little Blue - Mahogany Sessions","Little Blue – Mahogany Session","Jacob Collier",2023-10-05,453364,42,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"uk alternative pop","Decca (UMO)",0.285,0.103,3,-15.036,1,0.0335,0.917,0.00088,0.112,0.121,154.717,3
1ZAFLRxIurbkvn5xrs4soC,"Sleepless Deathbed","Sleepless Deathbed","Invent Animate",2024-01-18,238000,5,224worytfusgrhlogkqlitdwi,2024-12-04T20:21:29Z,"american metalcore,djent,melodic metalcore,metalcore,progressive metalcore","UNFD",0.329,0.991,3,-4.068,0,0.226,0.000741,0.000659,0.374,0.139,75.173,4
