Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5LMohta0AGkqEuMwcsMvCE,"Bari Arakeel (feat. Serj Tankian)","Inchbes Moranank","Khatchadour Tankian,Serj Tankian",2009-12-29,208186,21,224worytfusgrhlogkqlitdwi,2019-01-23T20:10:30Z,"alternative metal,nu metal","Serjical Strike Records",0.393,0.478,3,-5.256,0,0.0317,0.621,0,0.14,0.242,128.506,4
3l0pnRCNfZwi0Xfh8PJKal,"Naz Par","Traditional Dances Of Armenia","Shoghaken Ensemble,Gevorg Dabaghyan,Hasmik Harutyunyan",2004,176293,1,224worytfusgrhlogkqlitdwi,2019-01-23T20:17:48Z,"armenian folk,duduk","Traditional Crossroads",0.398,0.32,11,-7.21,0,0.0466,0.978,0.787,0.219,0.446,131.136,4
26vNIXrv6BI6l0gHHk81Hg,"Time Bomb (feat. Veela)","Monstercat 007 - Solace","Feint,Boyinaband,Veela",2012-06-06,211644,0,224worytfusgrhlogkqlitdwi,2019-01-24T20:27:26Z,"chillstep,dancefloor dnb,antiviral pop,otacore,pixel","Monstercat",0.335,0.811,11,-4.911,1,0.0339,0.00049,0.0231,0.178,0.222,175.015,4
3kZwRLGTgarfSczqw9uchr,"Wolf an Dro","Prayer","OMNIA",2016-07-14,277693,32,224worytfusgrhlogkqlitdwi,2019-01-25T15:44:43Z,"hurdy-gurdy,medieval folk,rune folk","PaganScum Records",0.367,0.793,8,-7.647,1,0.0393,0.0329,0.000484,0.106,0.204,200.346,4
2FSU73aYJ7awcgDbL9eAQ7,"Chicken in the Corn","Destiny","Brushy One String",2013-03-06,190760,0,224worytfusgrhlogkqlitdwi,2019-01-25T16:09:28Z,"","RiseUp Entertainment, LLC",0.924,0.761,2,-7.403,0,0.0642,0.679,0,0.379,0.912,128.017,4
53NnWGr1vYCKdudGVPmeRm,"Look at That Ass","Marc Rebillet","Marc Rebillet",2018-04-12,178233,0,224worytfusgrhlogkqlitdwi,2019-01-25T16:30:28Z,"","Bored Certified",0.753,0.234,6,-14.262,0,0.0864,0.0226,0.149,0.0655,0.457,78.591,4
2zQl59dZMzwhrmeSBEgiXY,"Watermelon Man","Head Hunters","Herbie Hancock",1973-10-26,388960,51,224worytfusgrhlogkqlitdwi,2019-01-25T17:47:28Z,"contemporary post-bop,instrumental funk,jazz,jazz funk,jazz fusion,jazz piano","Columbia/Legacy",0.724,0.414,1,-11.19,1,0.0588,0.262,0.111,0.0785,0.719,146.939,4
1YQWosTIljIvxAgHWTp7KP,"Take Five","Time Out","The Dave Brubeck Quartet",1959-12-14,324133,67,224worytfusgrhlogkqlitdwi,2019-01-25T17:47:42Z,"bebop,jazz,jazz quartet","Columbia/Legacy",0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,5
0cVgPTIvASmN27rfHmAYis,"Moonlight Sonata - 3rd Movement (Sonata No. 14 C# Minor)","Best Classical Piano Pieces - Beethoven","Monsalve",2013-01-15,416262,37,224worytfusgrhlogkqlitdwi,2019-01-25T17:59:46Z,"scorecore","Monsalve",0.389,0.457,9,-15.987,1,0.0322,0.833,0.852,0.127,0.265,155.048,4
6w5wRGoHWI7Ktt9lQBLQig,"Salió El Sol - Remastered 2016","King Of Kings 10th Anniversary (Remastered)","Don Omar",2016-11-11,315306,37,224worytfusgrhlogkqlitdwi,2019-01-25T18:12:36Z,"latin hip hop,puerto rican pop,reggaeton,trap latino,urbano latino","UMLE - Machete",0.884,0.75,4,-5.277,0,0.097,0.0899,0.014,0.0436,0.964,110.005,4
1q8gelFgFYUwoWpQV7WNCe,"54-46 Was My Number","In The Dark","Toots & The Maytals",1973-03-01,204026,61,224worytfusgrhlogkqlitdwi,2019-01-25T18:19:50Z,"reggae,roots reggae,ska","Island Records",0.685,0.36,0,-9.572,1,0.0568,0.18,0,0.112,0.597,160.448,4
0zO8ctW0UiuOefR87OeJOZ,"Collard Greens","Oxymoron (Deluxe)","ScHoolboy Q,Kendrick Lamar",2014-01-01,299960,74,224worytfusgrhlogkqlitdwi,2019-01-25T18:49:50Z,"gangster rap,hip hop,pop rap,rap,southern hip hop,trap,conscious hip hop,west coast rap","Schoolboy Q",0.825,0.573,11,-4.872,1,0.0638,0.0255,0.00000919,0.205,0.66,153.956,4
5Mtt6tZSZA9cXTHGSGpyh0,"The Blacker The Berry","To Pimp A Butterfly","Kendrick Lamar",2015-03-16,328826,61,224worytfusgrhlogkqlitdwi,2019-01-25T19:12:15Z,"conscious hip hop,hip hop,rap,west coast rap","Aftermath",0.553,0.852,10,-4.08,0,0.305,0.00713,0,0.463,0.27,176.058,4
1oTo3ijRbaDAtrjJrGAPSw,"I Miss You","blink-182","blink-182",2003-01-01,227240,74,224worytfusgrhlogkqlitdwi,2019-01-25T21:43:35Z,"alternative metal,modern rock,pop punk,punk,rock,socal pop punk","Geffen*",0.655,0.781,11,-6.547,1,0.034,0.00103,0.00000533,0.0867,0.584,110.024,4
5LWD342XZIx2tpaJYphWvK,"Udhne Sapoliye","Udhne Sapoliye","Jazzy B",2019-01-07,183066,0,224worytfusgrhlogkqlitdwi,2019-01-25T23:46:21Z,"bhangra,classic bhangra,punjabi pop","Planet Recordz Inc",0.614,0.924,7,-5.128,1,0.0581,0.0526,0.0457,0.316,0.702,158.625,4
0thLhIqWsqqycEqFONOyhu,"Lone Digger","<|º_º|>","Caravan Palace",2015-10-16,229804,3,224worytfusgrhlogkqlitdwi,2019-01-28T19:24:21Z,"electro swing,nu jazz","Le Plan Recordings",0.769,0.924,5,-5.263,0,0.051,0.596,0.0156,0.114,0.88,123.989,4
7eWuBTL35BSBBiIjWJk0KB,"Confined","Shadows Are Security","As I Lay Dying",2005,190106,46,224worytfusgrhlogkqlitdwi,2019-01-28T20:48:39Z,"alternative metal,christian metal,melodic metalcore,metalcore,nu metal","Metal Blade Records",0.279,0.987,0,-4.578,1,0.0992,0.0000194,0.000122,0.12,0.22,85.629,4
4ZLekmS3Vk2bx1SsU8vLQm,"Charlotte The Harlot","Salty Dick's Uncensored Sailor Songs","Salty Dick",2004-12-06,68693,15,224worytfusgrhlogkqlitdwi,2019-01-29T00:56:12Z,"shanty","Old Fashioned Music",0.702,0.306,11,-10.363,0,0.0491,0.8,0,0.0862,0.425,77.202,3
7atfuZoa92LWjrepggc3Ci,"Morgul","Ay-Kherel: The Music of Tuva","Ay-Kherel",2004-01-01,154306,28,224worytfusgrhlogkqlitdwi,2019-01-29T21:14:11Z,"throat singing,tuvan folk","ARC",0.368,0.205,2,-22.181,1,0.0304,0.988,0,0.0703,0.205,169.381,4
0FvwsORZMM5Apwsa8c4ZHy,"Thug Me Ruide","Altan","Frankie Kennedy and Mairead Ni Mhaonaigh",2006-03-15,266573,0,224worytfusgrhlogkqlitdwi,2019-01-30T00:04:11Z,"","Green Linnet",0.4,0.0275,4,-20.966,1,0.079,0.952,0,0.213,0.385,76.755,4
2C3aqjHNhQuPxhRLFbxKK7,"Birds and Bird Imitations","Tuva, Among the Spirits: Sound, Music, and Nature in Sahka and Tuva","Kaigal-ool Khovalyg, Anatoli Kuular, Alexei Saryglar",1999-01-19,141573,1,224worytfusgrhlogkqlitdwi,2019-01-30T04:01:18Z,"","Smithsonian Folkways Recordings",0.187,0.17,1,-35.894,1,0.153,0.281,0.535,0.873,0.115,160.133,4
