Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4qGpycLh5QWK8PJT1mPD2z,"Harmony Korine","Insurgentes (2016 Remaster)","Steven Wilson",2008-11-20,308500,37,224worytfusgrhlogkqlitdwi,2019-06-14T04:37:23Z,"progressive metal,progressive rock","Kscope",0.451,0.597,4,-10.669,0,0.0285,0.00187,0.585,0.0704,0.109,140.047,4
7HOO9OsOYf35rfcWyszC4D,"Cataclysm","Disparity","Sarah Longfield",2018-11-30,206000,10,224worytfusgrhlogkqlitdwi,2019-06-14T04:40:38Z,"","Season of Mist",0.421,0.911,4,-8.503,0,0.098,0.00308,0.822,0.738,0.263,159.894,4
3lrwnoggORNfLs0jiGqBhA,"Eat You Up","Eat You Up","BoA",2008-10-21,191546,26,224worytfusgrhlogkqlitdwi,2019-06-14T04:55:19Z,"k-pop","Fontana South",0.636,0.778,5,-2.983,0,0.1,0.016,0,0.187,0.926,98.383,4
5XJgoBicQ3CbjxiyRL014R,"Collision.Survive","What It Means to Be Defeated","Dayseeker",2013-10-29,254093,23,224worytfusgrhlogkqlitdwi,2019-06-14T04:58:47Z,"metalcore","InVogue Records",0.365,0.948,3,-2.803,0,0.0787,0.001,0,0.292,0.191,140.113,4
6LtIW2Y5NbZnMlUJbiviQ6,"Danger! High Voltage - Soulchild Radio Mix","Fire","Electric Six",2003-05-19,214600,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:00:21Z,"dance-punk,garage rock","XL Recordings",0.66,0.698,11,-4.722,0,0.0302,0.0000192,0.166,0.0517,0.511,123.005,4
4SAeLRKTvdvEKUvpYIoBzT,"The Sinner","The Hollow","Memphis May Fire",2011-04-26,242066,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:02:35Z,"melodic metalcore,metalcore,pop punk","Rise Records",0.207,0.977,1,-2.583,0,0.193,0.0000141,0,0.296,0.42,128.278,4
2fYC3xAyQgnpJCCYl1TH7y,"Reptile","Periphery IV: HAIL STAN","Periphery",2019-04-05,1003746,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:04:28Z,"djent,melodic metalcore,progressive metal,progressive metalcore","eOne Music",0.277,0.91,7,-5.723,1,0.117,0.0012,0.000716,0.342,0.112,118.375,4
5sgF64Fp8QwJbHabIlEzby,"The Dead Sea","Nomadic","Fallujah",2013-04-02,394440,13,224worytfusgrhlogkqlitdwi,2019-06-14T05:07:43Z,"blackened deathcore,brutal death metal,brutal deathcore,death metal,deathcore,djent,melodic metalcore,technical death metal,technical deathcore","Unique Leader Records",0.16,0.987,7,-1.368,1,0.285,0.00113,0.491,0.126,0.0821,180.075,3
2hBEqHY8yw0j7sGX6tT09o,"Skynet","Continent","The Acacia Strain",2008-01-01,262200,15,224worytfusgrhlogkqlitdwi,2019-06-14T05:09:48Z,"deathcore,downtempo deathcore,melodic metalcore,metalcore","Prosthetic",0.194,0.94,11,-5.111,1,0.168,0.00245,0.0055,0.18,0.0996,179.982,4
5WSL7UTa38jMWoBzObD4BD,"I Can't Stop","I Can't Stop","Flux Pavilion",2010,305785,52,224worytfusgrhlogkqlitdwi,2019-06-14T05:10:25Z,"brostep,classic dubstep,complextro,edm,electro house","Big Beat Records/Atlantic",0.524,0.601,0,-13.399,0,0.0335,0.00108,0.601,0.398,0.314,139.972,4
5AFELVx8jjU889yeXK9g0i,"Einharjar","Fi'mbulvntr","King of Asgard",2010-08-13,269760,25,224worytfusgrhlogkqlitdwi,2019-06-14T05:15:41Z,"folk metal,swedish melodeath,viking metal","Metal Blade Records +",0.318,0.959,8,-5.617,0,0.0584,0.00000153,0.00843,0.122,0.281,175.484,3
2qwuNv5V05sYymzbJGONxK,"The Mahdi","Indigoism","The Underachievers",2013-02-01,199401,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:17:59Z,"psychedelic hip hop,underground hip hop","RPM MSC, INC",0.61,0.806,6,-6.049,0,0.287,0.196,0,0.09,0.471,78.785,4
4VE8EaUkDFnOW8jRrJGkj3,"Rev 22-20 (Dry Martini Mix)","V Is for Vagina (Delux Edition)","Puscifer",2007-10-30,307973,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:26:49Z,"alternative metal,industrial rock","Puscifer Entertainment",0.564,0.347,0,-11.4,1,0.0273,0.0356,0.0546,0.108,0.0861,78.008,4
6ZSZJuZZJMtViJesaKK3KL,"Forget About Us - Barnes & Heatcliff Remix","Forget About Us","Lentos,Barnes & Heatcliff",2009-11-23,442414,4,224worytfusgrhlogkqlitdwi,2019-06-14T05:28:06Z,"","Coldharbour Recordings (Armada)",0.84,0.868,1,-4.978,1,0.196,0.000875,0.842,0.0834,0.328,128.023,4
1JQwjzoAW31MNAl7aVs43G,"ShutEmDown","Soundtrack For The Voices In My Head Vol. 02","Celldweller",2012-07-24,142280,34,224worytfusgrhlogkqlitdwi,2019-06-14T05:29:02Z,"future rock,industrial metal,industrial rock","FiXT",0.633,0.782,0,-4.739,1,0.0661,0.00263,0.769,0.0702,0.233,140.04,4
45aZM1UAGfThfsQ6haapFu,"Lofticries","Shrines","Purity Ring",2012-07-23,239613,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:30:23Z,"canadian electropop,dark pop,edmonton indie,grave wave,indietronica,metropopolis,shimmer pop","4AD",0.671,0.73,8,-6.773,1,0.0369,0.116,0.000356,0.201,0.299,112.011,4
4FvuNTv7dcQtoByEePExgW,"Lethargica","ObZen","Meshuggah",2008-03-07,347186,30,224worytfusgrhlogkqlitdwi,2019-06-14T05:32:06Z,"alternative metal,djent,groove metal,metal,nu metal,progressive groove metal,swedish metal,technical groove metal,technical thrash","Atomic Fire Records",0.278,0.966,5,-6.293,1,0.0578,0.0000296,0.929,0.436,0.0712,104.989,3
581mukhDjta60CCwpvnjL9,"Nobody","Babylon (Revised Online Music)","Skindred",2004-08-31,236013,63,224worytfusgrhlogkqlitdwi,2019-06-14T05:33:57Z,"nu metal,rap metal,reggae fusion,welsh metal,welsh rock","Lava",0.627,0.91,10,-4.629,0,0.052,0.018,0,0.369,0.751,97.867,4
26EM9sZnQkLLQxixGd88KE,"I Am The Best","I Am The Best","2NE1",2014-12-09,208730,68,224worytfusgrhlogkqlitdwi,2019-06-14T05:36:51Z,"dance pop,k-pop,k-pop girl group","Capitol Records (CAP)",0.819,0.844,0,-3.739,1,0.038,0.00767,0.00834,0.056,0.687,127.997,4
1HLzOkMLl4m7phBs846sNG,"Youngblood","Station","Russian Circles",2008-05-06,454560,0,224worytfusgrhlogkqlitdwi,2019-06-14T05:46:40Z,"american post-rock,instrumental post-rock,instrumental rock,post-metal,post-rock,sludge metal","Suicide Squeeze Records",0.263,0.685,1,-8.703,1,0.0333,0.0235,0.728,0.0858,0.0799,173.87,4
